Course,Topic,Term,Year,Sentence
Unstructured Data Analysis,Images,4,2,"A graph G is a finite nonempty set of objects, called vertices (the singular is vertex), together with a (possibly empty) set of unordered pairs of distinct vertices, called edges"
Unstructured Data Analysis,Images,4,2,"The objective world is three-dimensional (3D) in space, but the image obtained from the objective scene is generally two-dimensional (2D)"
Unstructured Data Analysis,Images,4,2,"An image can be represented by a 2D array f(x,y), where x and y represent the position of a coordinate point in the 2D space XY , and f represents the image value of a property F at a certain point (x, y)"
Unstructured Data Analysis,Images,4,2,"For example, f in a grayscale image represents a gray value, which often corresponds to the observed brightness of an objective scene"
Unstructured Data Analysis,Images,4,2,"Text images are often binary images, and there are only two values for f, corresponding to text and blank space, respectively"
Unstructured Data Analysis,Images,4,2,"The image at the point (x, y) can also have multiple properties at the same time"
Unstructured Data Analysis,Images,4,2,"In this case, it can be represented by a vector f"
Unstructured Data Analysis,Images,4,2,"For example, for a color image that has three values of red, green, and blue at each image point, this image can be recorded as [fr(x,y),fg(x,y),fb(x,y)]"
Unstructured Data Analysis,Images,4,2,"Images may have different properties at different positions/regions within the image, so several different techniques may be applied in a single image, depending on properties of certain regions"
Unstructured Data Analysis,Images,4,2,Caution! We need to be careful when representing images as arrays or matrices because array operations and matrix operations are different.
Unstructured Data Analysis,Images,4,2,"There are many different file formats to store images; the format that images are stored in, or the format of image to choose, largely depends on what we’d like to do with them image"
Unstructured Data Analysis,Images,4,2,"Raster images are made up of pixels, usually for storing and processing, while vector images are made up of mathematical curves and paths, for example, for resizing"
Unstructured Data Analysis,Images,4,2,These two image types are complementary
Unstructured Data Analysis,Images,4,2,A .png file consists of a png signature followed by a series of chunks. The first eight bytes of a png file always contain the following (decimal) values:
Unstructured Data Analysis,Images,4,2,"This signature indicates that the remainder of the file contains a single png image, consisting of a series of chunks beginning with an IHDR (image header) chunk and ending with an IEND (image end) chunk. You can see the online webpage for a complete description of the chunk layout."
Unstructured Data Analysis,Images,4,2,"Intuitively, spatial resolution is a measure of the smallest discernible detail in an image."
Unstructured Data Analysis,Images,4,2,"Quantitatively, spatial resolution can be captured in several ways—line pairs per unit distance, and dots (pixels) per unit distance are common measures."
